Name,Address,Country,Locality,postalCode,Telephone,Latitude,Longitude,Amenities,Rating,Reviews,Transit,URL
10 East 40th Street,10 East 40th Street New York NY 10016,US,New York,10016,+16469789810,40.751773,-73.981049,"•  Business-class printers
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Mail & package handling
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Video conferencing",No ratings,No reviews,,https://www.wework.com/buildings/10-east-40th-street--new-york-city--NY
10 East 38th St,10 East 38th Street New York NY 10016,US,New York,10016,+16468596273,40.750405,-73.981995,"•  Business-class printers
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Furnished spaces
•  Mail & package handling
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Video conferencing",No ratings,No reviews,,https://www.wework.com/buildings/10-east-38th-st--new-york-city--NY
10 Devonshire Square,10 Devonshire Square London EC2M 4YP,GB,London,EC2M 4YP,+442036957895,51.5168625,-0.0789509,"•  Barista
•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Honesty market
•  Mail & package handling
•  Onsite staff
•  Outdoor space
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",No ratings,No reviews,,https://www.wework.com/buildings/10-devonshire-square--london
1003 E 4th Pl,1003 E. 4th Place Los Angeles CA 90013,US,Los Angeles,90013,+12132048394,34.0421463,-118.2334367,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",No ratings,No reviews,,https://www.wework.com/buildings/1003-e-4th-pl--los-angeles--CA
Name,Address,Country,Locality,postalCode,Telephone,Latitude,Longitude,Amenities,Rating,Reviews,Transit,URL
10 York Rd,10 York Rd London SE1 7ND,GB,London,SE1 7ND,+442036957895,51.5037052,-0.1165341,"•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Food hall 
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Screening room
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",4.5,39,"•  Metro - Waterloo Station - 1 minute walk, Embankment - 10 minute walk, Charing Cross - 10 minute walk",https://www.wework.com/buildings/10-york-rd--london
10 HaZerem St,7 HaPelech Street Tel Aviv 6816727,IL,Tel Aviv,6816727,+9723053,32.0502687,34.7666678,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Creator Lab
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",4.5,52,"•  Bike - Bike storage available.
•  Bus - Bus lines 72, 1, 40 - 10 min walk from HaZerem.  
•  Freeway - Kibbutz Galuyot Rd.
•  Metro - Tel Aviv HaHagana Train Station",https://www.wework.com/buildings/10-hazerem-st--tel-aviv--israel
10 East 40th Street,10 East 40th Street New York NY 10016,US,New York,10016,+16469789810,40.751773,-73.981049,"•  Business-class printers
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Mail & package handling
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Video conferencing",No ratings,No reviews,,https://www.wework.com/buildings/10-east-40th-street--new-york-city--NY
10 East 38th St,10 East 38th Street New York NY 10016,US,New York,10016,+16468596273,40.750405,-73.981995,"•  Business-class printers
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Furnished spaces
•  Mail & package handling
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Video conferencing",No ratings,No reviews,,https://www.wework.com/buildings/10-east-38th-st--new-york-city--NY
10 Devonshire Square,10 Devonshire Square London EC2M 4YP,GB,London,EC2M 4YP,+442036957895,51.5168625,-0.0789509,"•  Barista
•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Honesty market
•  Mail & package handling
•  Onsite staff
•  Outdoor space
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",No ratings,No reviews,,https://www.wework.com/buildings/10-devonshire-square--london
106 Boulevard Haussmann,106 Boulevard Haussmann Paris 75008,FR,Paris,75008,+33186652533,48.8747243,2.3193191,"•  Barista
•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Onsite staff
•  Outdoor space
•  Parking
•  Phone booths
•  Professional events and programming
•  Showers
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.6,2,"•  Bus - 20, 28, 32, 80, 43 Bus Routes (1 minute walk)
•  Metro - Line 9 Subway at Saint-Augustin (1 minute walk) | Saint-Lazare Train Station (3 minute walk)",https://www.wework.com/buildings/106-boulevard-haussmann--paris
109 North Bridge Rd,109 North Bridge Road #05-21 Singapore 179097,SG,Singapore,179097,+6566816768,1.291578,103.849799,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Fitness center
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.3,15,•  Metro -  City Hall MRT (5 minute walk),https://www.wework.com/buildings/109-north-bridge-rd--singapore
101 N 1st Ave,101 North 1st Ave Suite 800 Phoenix AZ 85003,US,Phoenix,85003,+16024919587,33.449853,-112.0747033,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Outdoor space
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",5.0,2,"•  Bike - Grid Bike Sharing Station P110 Van Buren St & 1st Ave (2 blocks away)
•  Bus - 8, 514, 520, 521, 522, 531, 533, 535, 541, 542, 562, 563, 571, 573, 575 at Washington St & 3rd Av (1 block away)
•  Freeway - I-10 (1.3 miles away)",https://www.wework.com/buildings/101-n-1st-ave--phoenix
1010 Sainte-Catherine Ouest,1010 Rue Sainte-Catherine Ouest Suite 200 Montreal QC H3B 5L1,CA,Montreal,H3B 5L1,+15144469404,45.500249,-73.572414,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",No ratings,No reviews,"•  Bike - Station de vélo Bixi 6072 (2 blocks away)
•  Bus - 420 at Metcalfe / Sainte-Catherine, 120 at Peel / Sainte-Catherine (1 block away)
•  Freeway - 915 Rte 112 (.2 miles away)
•  Parking - AutoParc Stanley (2 blocks away)",https://www.wework.com/buildings/1010-sainte-catherine-ouest--montreal--QC
1010 N Hancock St,1010 N Hancock St Philadelphia PA 19123,US,Philadelphia,19123,+12672773815,39.9657327,-75.1397396,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Mail & package handling
•  Natural light
•  Onsite staff
•  Outdoor space
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.5,33,"•  Bike - Storage available. There is an Indego Bike Share station on the corner of 2nd and Germantown Av
•  Freeway - 2nd Street (runs into Old City) and I-95
•  Metro - Market-Frankford Line (Blue Line) on Girard Stop",https://www.wework.com/buildings/1010-n-hancock-st--philadelphia--PA
100 Summer St,100 Summer Street Boston MA 02110,US,Boston,02110,+16172094711,42.3538143,-71.0595797,"•  Assembly hall
•  Barista
•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Electric vehicle charging stations
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Fitness center
•  Honesty market
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.0,0,"•  Bus - 553 Bus at Franklin and Federal Street (2 minute walk)
•  Metro - Red Line at Downtown Crossing (4 minute walk)",https://www.wework.com/buildings/100-summer-st--boston--MA
